,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,0.696,0.973,0.741,0.982,0.744,0.964,0.974,0.603,0.666,0.946,0.918,0.296,0.774,0.532,0.657,1.0,0.945,0.842,0.84,0.854,0.993,0.992,0.731,0.998,0.94,0.578,0.613,0.664,0.366,0.893,0.714,0.206,0.886,0.973,0.493,0.399,0.353,0.641,0.759,0.369,0.207,0.472,0.883,0.77,0.242,0.426,1.0,0.815,0.565,0.999
16,0.493,0.862,0.499,0.872,0.888,0.999,0.994,0.812,0.486,0.81,0.779,0.47,0.907,0.753,0.836,0.945,1.0,0.671,0.664,0.958,0.925,0.992,0.531,0.941,1.0,0.783,0.44,0.862,0.562,0.694,0.881,0.395,0.691,1.0,0.334,0.226,0.564,0.433,0.545,0.598,0.381,0.281,0.99,0.598,0.427,0.232,0.961,0.634,0.354,0.967
17,0.978,0.945,0.968,0.918,0.379,0.685,0.729,0.29,0.96,0.967,0.975,0.063,0.4,0.219,0.29,0.842,0.671,1.0,1.0,0.503,0.918,0.758,0.985,0.881,0.596,0.242,0.945,0.314,0.095,0.998,0.397,0.037,1.0,0.675,0.839,0.769,0.089,0.924,0.992,0.114,0.047,0.838,0.559,0.995,0.054,0.753,0.832,1.0,0.899,0.813
18,0.971,0.939,0.981,0.906,0.352,0.676,0.716,0.286,0.97,0.977,0.981,0.042,0.417,0.198,0.292,0.84,0.664,1.0,1.0,0.463,0.903,0.728,0.991,0.845,0.623,0.212,0.948,0.338,0.08,0.994,0.337,0.029,0.996,0.684,0.866,0.798,0.074,0.961,0.987,0.098,0.038,0.848,0.533,0.993,0.046,0.77,0.834,0.999,0.904,0.794
19,0.316,0.738,0.336,0.751,0.976,0.959,0.925,0.958,0.327,0.592,0.596,0.674,0.997,0.886,0.95,0.854,0.958,0.503,0.463,1.0,0.772,0.896,0.345,0.78,0.973,0.92,0.264,0.965,0.769,0.493,0.967,0.531,0.508,0.934,0.164,0.12,0.702,0.299,0.384,0.757,0.573,0.154,0.994,0.39,0.619,0.101,0.844,0.443,0.208,0.873
20,0.786,0.995,0.793,1.0,0.62,0.92,0.942,0.52,0.761,0.971,0.963,0.19,0.693,0.46,0.584,0.993,0.925,0.918,0.903,0.772,1.0,0.961,0.814,0.995,0.878,0.494,0.691,0.578,0.295,0.942,0.621,0.158,0.927,0.921,0.607,0.487,0.287,0.732,0.828,0.307,0.187,0.559,0.828,0.856,0.188,0.474,0.989,0.862,0.622,0.98
21,0.603,0.931,0.606,0.955,0.798,0.989,0.998,0.737,0.586,0.889,0.868,0.366,0.872,0.654,0.75,0.992,0.992,0.758,0.728,0.896,0.961,1.0,0.631,0.979,0.97,0.689,0.519,0.778,0.485,0.825,0.782,0.274,0.798,0.996,0.389,0.306,0.44,0.565,0.634,0.465,0.352,0.391,0.935,0.685,0.325,0.294,0.995,0.737,0.478,0.997
22,0.999,0.849,1.0,0.834,0.264,0.584,0.588,0.191,0.998,0.931,0.932,0.024,0.324,0.128,0.202,0.731,0.531,0.985,0.991,0.345,0.814,0.631,1.0,0.763,0.503,0.143,0.98,0.239,0.057,0.963,0.234,0.016,0.977,0.578,0.922,0.856,0.038,0.986,0.998,0.054,0.029,0.903,0.439,0.999,0.023,0.849,0.723,0.992,0.966,0.688
23,0.761,0.987,0.729,0.993,0.685,0.95,0.961,0.582,0.732,0.955,0.946,0.226,0.771,0.502,0.614,0.998,0.941,0.881,0.845,0.78,0.995,0.979,0.763,1.0,0.891,0.545,0.702,0.641,0.331,0.907,0.677,0.174,0.899,0.958,0.544,0.48,0.296,0.671,0.801,0.338,0.212,0.535,0.867,0.812,0.201,0.427,0.998,0.862,0.607,0.995
24,0.45,0.823,0.473,0.859,0.915,0.998,0.988,0.846,0.446,0.776,0.761,0.49,0.953,0.792,0.892,0.94,1.0,0.596,0.623,0.973,0.878,0.97,0.503,0.891,1.0,0.821,0.374,0.902,0.598,0.653,0.9,0.404,0.626,0.994,0.273,0.198,0.608,0.398,0.526,0.634,0.417,0.272,0.999,0.532,0.469,0.195,0.943,0.568,0.359,0.953
