,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,0.574,0.959,0.609,0.981,0.604,0.953,0.974,0.51,0.581,0.898,0.908,0.141,0.675,0.395,0.553,1.0,0.924,0.786,0.784,0.77,0.982,0.982,0.64,0.998,0.896,0.472,0.485,0.584,0.201,0.822,0.577,0.101,0.797,0.953,0.342,0.272,0.208,0.516,0.665,0.245,0.118,0.323,0.853,0.709,0.123,0.23,1.0,0.739,0.419,1.0
16,0.363,0.814,0.38,0.829,0.833,1.0,0.992,0.719,0.31,0.724,0.686,0.312,0.889,0.642,0.776,0.924,1.0,0.551,0.554,0.941,0.845,0.985,0.408,0.904,0.997,0.661,0.272,0.785,0.415,0.609,0.829,0.222,0.586,0.994,0.179,0.122,0.399,0.287,0.403,0.427,0.256,0.154,0.977,0.448,0.268,0.105,0.937,0.496,0.217,0.956
17,0.946,0.906,0.964,0.885,0.211,0.558,0.609,0.154,0.935,0.97,0.969,0.018,0.259,0.105,0.162,0.786,0.551,1.0,1.0,0.322,0.849,0.694,0.973,0.813,0.529,0.123,0.89,0.164,0.031,0.996,0.212,0.007,0.999,0.592,0.779,0.678,0.028,0.915,0.982,0.029,0.007,0.758,0.418,0.989,0.01,0.653,0.784,0.996,0.837,0.726
18,0.962,0.887,0.973,0.865,0.202,0.543,0.594,0.142,0.945,0.957,0.963,0.015,0.28,0.099,0.162,0.784,0.554,1.0,1.0,0.286,0.829,0.678,0.978,0.806,0.47,0.106,0.926,0.175,0.03,0.994,0.182,0.004,0.999,0.562,0.778,0.718,0.028,0.929,0.992,0.034,0.006,0.797,0.399,0.995,0.014,0.683,0.758,1.0,0.85,0.698
19,0.167,0.608,0.196,0.646,0.977,0.908,0.889,0.901,0.167,0.495,0.494,0.512,0.995,0.86,0.945,0.77,0.941,0.322,0.286,1.0,0.662,0.869,0.209,0.705,0.964,0.877,0.152,0.956,0.647,0.382,0.964,0.387,0.36,0.902,0.081,0.048,0.609,0.156,0.238,0.655,0.436,0.064,0.992,0.257,0.489,0.032,0.79,0.289,0.106,0.791
20,0.721,0.994,0.7,1.0,0.511,0.885,0.914,0.383,0.664,0.957,0.94,0.086,0.585,0.313,0.438,0.982,0.845,0.849,0.829,0.662,1.0,0.951,0.734,0.997,0.812,0.374,0.591,0.505,0.133,0.896,0.497,0.048,0.866,0.916,0.442,0.34,0.147,0.63,0.739,0.157,0.078,0.436,0.761,0.771,0.083,0.301,0.986,0.827,0.527,0.972
21,0.475,0.902,0.5,0.927,0.728,0.986,0.996,0.601,0.427,0.807,0.781,0.21,0.794,0.535,0.658,0.982,0.985,0.694,0.678,0.869,0.951,1.0,0.527,0.967,0.963,0.594,0.389,0.713,0.277,0.716,0.697,0.136,0.667,0.997,0.217,0.202,0.292,0.399,0.544,0.319,0.188,0.233,0.927,0.583,0.189,0.151,0.991,0.607,0.299,0.992
22,1.0,0.794,0.999,0.732,0.119,0.393,0.478,0.078,0.983,0.876,0.905,0.008,0.181,0.043,0.083,0.64,0.408,0.973,0.978,0.209,0.734,0.527,1.0,0.689,0.358,0.064,0.986,0.092,0.011,0.96,0.111,0.002,0.964,0.453,0.901,0.839,0.006,0.974,0.998,0.017,0.002,0.875,0.283,0.998,0.009,0.773,0.612,0.99,0.935,0.629
23,0.665,0.98,0.665,0.996,0.573,0.921,0.936,0.441,0.613,0.943,0.923,0.137,0.618,0.365,0.504,0.998,0.904,0.813,0.806,0.705,0.997,0.967,0.689,1.0,0.863,0.415,0.516,0.549,0.18,0.871,0.518,0.069,0.858,0.94,0.404,0.298,0.154,0.566,0.701,0.187,0.085,0.409,0.777,0.725,0.105,0.252,0.993,0.767,0.451,0.99
24,0.298,0.753,0.331,0.789,0.882,0.992,0.981,0.769,0.308,0.64,0.648,0.363,0.908,0.709,0.843,0.896,0.997,0.529,0.47,0.964,0.812,0.963,0.358,0.863,1.0,0.726,0.235,0.841,0.467,0.559,0.862,0.271,0.526,0.987,0.14,0.084,0.433,0.279,0.364,0.483,0.299,0.133,0.993,0.417,0.312,0.076,0.924,0.44,0.184,0.928
25,0.043,0.29,0.056,0.352,0.968,0.659,0.624,0.996,0.053,0.218,0.213,0.825,0.926,0.994,0.984,0.472,0.661,0.123,0.106,0.877,0.374,0.594,0.064,0.415,0.726,1.0,0.026,0.974,0.895,0.148,0.983,0.685,0.11,0.632,0.015,0.002,0.907,0.037,0.076,0.934,0.76,0.006,0.788,0.087,0.788,0.008,0.475,0.094,0.021,0.473
