,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,0.591,0.966,0.611,0.983,0.608,0.94,0.969,0.51,0.584,0.903,0.902,0.131,0.664,0.396,0.57,1.0,0.93,0.787,0.771,0.744,0.985,0.989,0.646,0.996,0.889,0.456,0.533,0.584,0.22,0.831,0.629,0.095,0.817,0.953,0.363,0.282,0.214,0.529,0.641,0.224,0.094,0.328,0.835,0.7,0.126,0.215,1.0,0.734,0.434,1.0
16,0.32,0.803,0.376,0.831,0.834,0.999,0.992,0.724,0.315,0.707,0.692,0.332,0.892,0.644,0.761,0.93,1.0,0.562,0.539,0.937,0.876,0.982,0.419,0.901,0.997,0.709,0.259,0.788,0.434,0.583,0.82,0.226,0.563,0.999,0.185,0.11,0.417,0.298,0.423,0.453,0.267,0.164,0.981,0.456,0.266,0.093,0.944,0.521,0.209,0.952
17,0.944,0.912,0.952,0.894,0.208,0.567,0.588,0.136,0.948,0.975,0.979,0.016,0.264,0.099,0.187,0.787,0.562,1.0,0.999,0.349,0.869,0.673,0.976,0.844,0.506,0.123,0.882,0.2,0.03,0.998,0.206,0.009,0.999,0.616,0.8,0.674,0.031,0.907,0.979,0.046,0.008,0.747,0.424,0.994,0.007,0.66,0.756,0.998,0.855,0.722
18,0.96,0.884,0.983,0.851,0.191,0.539,0.6,0.134,0.962,0.953,0.961,0.012,0.224,0.091,0.144,0.771,0.539,0.999,1.0,0.317,0.841,0.624,0.975,0.784,0.463,0.096,0.908,0.165,0.026,0.994,0.184,0.004,0.995,0.55,0.813,0.72,0.023,0.926,0.985,0.037,0.005,0.788,0.425,0.993,0.006,0.64,0.736,1.0,0.869,0.72
19,0.181,0.57,0.216,0.618,0.976,0.915,0.897,0.907,0.166,0.491,0.488,0.503,0.996,0.822,0.949,0.744,0.937,0.349,0.317,1.0,0.69,0.856,0.205,0.708,0.967,0.877,0.135,0.952,0.632,0.36,0.958,0.382,0.355,0.927,0.064,0.041,0.638,0.165,0.224,0.662,0.425,0.057,0.985,0.25,0.45,0.043,0.781,0.277,0.08,0.8
20,0.712,0.992,0.739,1.0,0.521,0.883,0.924,0.388,0.651,0.972,0.957,0.101,0.601,0.317,0.409,0.985,0.876,0.869,0.841,0.69,1.0,0.935,0.765,0.999,0.81,0.365,0.606,0.459,0.157,0.897,0.476,0.06,0.883,0.906,0.416,0.363,0.157,0.632,0.75,0.164,0.068,0.425,0.775,0.756,0.081,0.318,0.985,0.836,0.504,0.98
21,0.486,0.905,0.5,0.924,0.759,0.992,0.998,0.608,0.436,0.834,0.809,0.244,0.798,0.522,0.683,0.989,0.982,0.673,0.624,0.856,0.935,1.0,0.508,0.955,0.963,0.571,0.356,0.681,0.313,0.702,0.732,0.146,0.702,0.989,0.235,0.193,0.288,0.399,0.533,0.349,0.155,0.23,0.932,0.571,0.191,0.143,0.992,0.63,0.298,0.995
22,0.993,0.798,1.0,0.765,0.138,0.406,0.456,0.086,0.995,0.875,0.893,0.003,0.183,0.046,0.094,0.646,0.419,0.976,0.975,0.205,0.765,0.508,1.0,0.71,0.349,0.058,0.974,0.085,0.017,0.94,0.114,0.003,0.967,0.446,0.899,0.84,0.013,0.982,0.999,0.021,0.001,0.876,0.283,0.998,0.003,0.757,0.623,0.991,0.939,0.58
23,0.632,0.982,0.673,0.99,0.568,0.934,0.921,0.485,0.602,0.931,0.922,0.113,0.65,0.35,0.515,0.996,0.901,0.844,0.784,0.708,0.999,0.955,0.71,1.0,0.85,0.426,0.544,0.535,0.199,0.875,0.541,0.065,0.848,0.936,0.391,0.316,0.163,0.579,0.686,0.191,0.079,0.379,0.814,0.761,0.096,0.274,0.99,0.783,0.51,0.99
24,0.301,0.768,0.348,0.812,0.881,0.993,0.985,0.772,0.298,0.649,0.641,0.357,0.93,0.696,0.845,0.889,0.997,0.506,0.463,0.967,0.81,0.963,0.349,0.85,1.0,0.732,0.226,0.849,0.442,0.546,0.854,0.258,0.516,0.996,0.148,0.103,0.433,0.238,0.395,0.498,0.302,0.141,0.996,0.404,0.31,0.076,0.908,0.453,0.181,0.935
25,0.059,0.288,0.052,0.325,0.968,0.674,0.647,0.998,0.044,0.231,0.212,0.821,0.936,0.996,0.985,0.456,0.709,0.123,0.096,0.877,0.365,0.571,0.058,0.426,0.732,1.0,0.033,0.984,0.917,0.146,0.974,0.693,0.123,0.662,0.011,0.006,0.903,0.038,0.08,0.92,0.781,0.009,0.812,0.08,0.774,0.002,0.486,0.104,0.019,0.497
26,0.985,0.667,0.978,0.636,0.065,0.287,0.332,0.034,0.992,0.765,0.784,0.003,0.092,0.019,0.051,0.533,0.259,0.882,0.908,0.135,0.606,0.356,0.974,0.544,0.226,0.033,1.0,0.052,0.006,0.863,0.067,0.0,0.885,0.304,0.972,0.915,0.003,0.998,0.965,0.0,0.0,0.964,0.202,0.949,0.0,0.908,0.479,0.934,0.995,0.463
27,0.067,0.4,0.089,0.46,0.998,0.763,0.735,0.991,0.075,0.3,0.295,0.699,0.976,0.958,1.0,0.584,0.788,0.2,0.165,0.952,0.459,0.681,0.085,0.535,0.849,0.984,0.052,1.0,0.837,0.23,0.999,0.603,0.182,0.732,0.028,0.014,0.799,0.071,0.111,0.834,0.64,0.017,0.902,0.129,0.666,0.011,0.609,0.171,0.038,0.628
28,0.008,0.114,0.015,0.155,0.788,0.424,0.344,0.882,0.007,0.082,0.07,0.985,0.707,0.93,0.849,0.22,0.434,0.03,0.026,0.632,0.157,0.313,0.017,0.199,0.442,0.917,0.006,0.837,1.0,0.037,0.807,0.919,0.044,0.393,0.002,0.0,1.0,0.005,0.012,1.0,0.958,0.0,0.551,0.023,0.96,0.0,0.245,0.026,0.0,0.26
29,0.932,0.939,0.939,0.89,0.244,0.629,0.669,0.165,0.896,0.977,0.984,0.018,0.323,0.116,0.2,0.831,0.583,0.998,0.994,0.36,0.897,0.702,0.94,0.875,0.546,0.146,0.863,0.23,0.037,1.0,0.232,0.009,1.0,0.625,0.745,0.64,0.035,0.885,0.959,0.043,0.014,0.72,0.488,0.968,0.018,0.573,0.79,0.984,0.799,0.809
30,0.101,0.416,0.118,0.498,0.999,0.82,0.748,0.982,0.077,0.324,0.314,0.703,0.984,0.953,0.995,0.629,0.82,0.206,0.184,0.958,0.476,0.732,0.114,0.541,0.854,0.974,0.067,0.999,0.807,0.232,1.0,0.562,0.209,0.812,0.04,0.009,0.791,0.067,0.119,0.837,0.591,0.021,0.906,0.153,0.645,0.014,0.611,0.183,0.044,0.673
31,0.002,0.035,0.0,0.049,0.539,0.221,0.177,0.672,0.0,0.023,0.019,0.99,0.487,0.746,0.618,0.095,0.226,0.009,0.004,0.382,0.06,0.146,0.003,0.065,0.258,0.693,0.0,0.603,0.919,0.009,0.562,1.0,0.011,0.171,0.0,0.0,0.943,0.001,0.001,0.905,0.995,0.0,0.318,0.002,0.995,0.0,0.099,0.004,0.0,0.1
32,0.933,0.93,0.959,0.891,0.253,0.58,0.633,0.168,0.931,0.973,0.978,0.014,0.291,0.103,0.178,0.817,0.563,0.999,0.995,0.355,0.883,0.702,0.967,0.848,0.516,0.123,0.885,0.182,0.044,1.0,0.209,0.011,1.0,0.606,0.745,0.679,0.043,0.901,0.966,0.042,0.012,0.743,0.433,0.986,0.011,0.591,0.784,0.995,0.834,0.784
33,0.389,0.849,0.434,0.888,0.814,1.0,0.999,0.697,0.409,0.758,0.731,0.277,0.86,0.595,0.725,0.953,0.999,0.616,0.55,0.927,0.906,0.989,0.446,0.936,0.996,0.662,0.304,0.732,0.393,0.625,0.812,0.171,0.606,1.0,0.194,0.128,0.361,0.358,0.468,0.427,0.211,0.177,0.962,0.494,0.251,0.125,0.959,0.536,0.24,0.976
34,0.929,0.521,0.911,0.466,0.036,0.206,0.228,0.014,0.933,0.615,0.638,0.0,0.045,0.009,0.022,0.363,0.185,0.8,0.813,0.064,0.416,0.235,0.899,0.391,0.148,0.011,0.972,0.028,0.002,0.745,0.04,0.0,0.745,0.194,1.0,0.985,0.001,0.971,0.871,0.0,0.0,0.999,0.102,0.865,0.0,0.977,0.352,0.843,0.991,0.333
35,0.878,0.43,0.836,0.386,0.021,0.129,0.156,0.008,0.897,0.515,0.529,0.0,0.025,0.003,0.011,0.282,0.11,0.674,0.72,0.041,0.363,0.193,0.84,0.316,0.103,0.006,0.915,0.014,0.0,0.64,0.009,0.0,0.679,0.128,0.985,1.0,0.0,0.924,0.797,0.0,0.0,0.994,0.065,0.804,0.0,0.998,0.258,0.729,0.961,0.25
36,0.008,0.105,0.008,0.136,0.76,0.375,0.342,0.843,0.005,0.073,0.066,0.984,0.711,0.928,0.824,0.214,0.417,0.031,0.023,0.638,0.157,0.288,0.013,0.163,0.433,0.903,0.003,0.799,1.0,0.035,0.791,0.943,0.043,0.361,0.001,0.0,1.0,0.005,0.015,0.999,0.953,0.001,0.53,0.014,0.978,0.0,0.208,0.022,0.001,0.25
