,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,0.55,0.781,0.0,0.492,0.873,0.742,0.465,0.653,0.112,1.0,0.914,0.0,0.011,0.748,0.915,1.0,0.929,0.102,0.45,0.029,0.328,0.181,0.948,0.133,0.605,0.242,0.451,0.14,0.051,0.856,0.0,0.289,0.839,0.091,0.036,0.966,0.651,0.01,0.02,0.119,0.31,0.005,0.0,0.981,0.831,0.959,0.415,0.096,0.0,0.0
16,0.772,0.958,0.002,0.269,0.988,0.93,0.695,0.352,0.277,0.946,0.998,0.006,0.0,0.498,0.704,0.929,1.0,0.031,0.222,0.087,0.152,0.047,0.795,0.335,0.864,0.446,0.67,0.05,0.014,0.634,0.0,0.543,0.981,0.233,0.148,0.998,0.874,0.057,0.0,0.036,0.139,0.0,0.0,0.977,0.969,0.998,0.203,0.017,0.014,0.006
17,0.0,0.007,0.431,0.762,0.008,0.002,0.0,0.631,0.019,0.092,0.021,0.332,0.866,0.504,0.314,0.102,0.031,1.0,0.774,0.067,0.889,0.975,0.258,0.007,0.0,0.004,0.0,0.989,0.982,0.377,0.625,0.0,0.015,0.023,0.053,0.033,0.0,0.123,0.892,0.997,0.901,0.791,0.524,0.068,0.004,0.031,0.819,0.997,0.24,0.318
18,0.031,0.112,0.118,0.998,0.172,0.09,0.013,0.974,0.0,0.419,0.195,0.047,0.413,0.904,0.761,0.45,0.222,0.774,1.0,0.002,0.985,0.876,0.679,0.0,0.048,0.001,0.004,0.858,0.682,0.835,0.231,0.001,0.173,0.0,0.0,0.278,0.045,0.005,0.455,0.804,0.97,0.345,0.167,0.344,0.138,0.243,0.998,0.733,0.034,0.054
19,0.487,0.23,0.641,0.0,0.146,0.26,0.529,0.0,0.916,0.044,0.128,0.777,0.297,0.0,0.003,0.029,0.087,0.067,0.002,1.0,0.006,0.029,0.003,0.911,0.362,0.775,0.551,0.036,0.113,0.0,0.491,0.7,0.19,0.946,0.998,0.075,0.338,0.978,0.245,0.048,0.007,0.357,0.585,0.064,0.234,0.104,0.003,0.071,0.881,0.788
20,0.016,0.064,0.207,0.955,0.133,0.047,0.003,0.901,0.0,0.287,0.125,0.119,0.551,0.804,0.602,0.328,0.152,0.889,0.985,0.006,1.0,0.953,0.556,0.0,0.017,0.0,0.003,0.932,0.799,0.7,0.294,0.0,0.102,0.0,0.002,0.22,0.032,0.016,0.582,0.912,0.997,0.455,0.237,0.223,0.083,0.171,0.992,0.844,0.063,0.097
21,0.001,0.017,0.32,0.852,0.042,0.01,0.0,0.753,0.001,0.17,0.048,0.228,0.751,0.633,0.41,0.181,0.047,0.975,0.876,0.029,0.953,1.0,0.351,0.0,0.001,0.0,0.0,0.998,0.924,0.5,0.506,0.0,0.033,0.008,0.021,0.087,0.009,0.058,0.777,0.996,0.967,0.64,0.428,0.122,0.016,0.078,0.899,0.971,0.148,0.21
22,0.363,0.572,0.002,0.707,0.709,0.573,0.28,0.809,0.028,0.928,0.767,0.0,0.044,0.895,0.987,0.948,0.795,0.258,0.679,0.003,0.556,0.351,1.0,0.057,0.422,0.13,0.251,0.289,0.179,0.965,0.012,0.168,0.683,0.036,0.004,0.859,0.431,0.0,0.06,0.284,0.497,0.025,0.004,0.884,0.636,0.824,0.622,0.213,0.0,0.0
23,0.719,0.507,0.364,0.0,0.383,0.561,0.8,0.001,0.999,0.171,0.3,0.517,0.096,0.007,0.036,0.133,0.335,0.007,0.0,0.911,0.0,0.0,0.057,1.0,0.672,0.98,0.861,0.004,0.027,0.014,0.218,0.929,0.422,0.996,0.933,0.228,0.623,0.798,0.074,0.007,0.0,0.125,0.321,0.194,0.451,0.289,0.0,0.015,0.607,0.528
24,0.991,0.961,0.046,0.073,0.89,0.977,0.96,0.117,0.632,0.656,0.9,0.077,0.0,0.175,0.33,0.605,0.864,0.0,0.048,0.362,0.017,0.001,0.422,0.672,1.0,0.831,0.959,0.004,0.0,0.263,0.015,0.9,0.93,0.598,0.412,0.795,1.0,0.291,0.0,0.002,0.009,0.003,0.022,0.746,0.962,0.814,0.043,0.0,0.149,0.084
